id,titolo,genere,regista,anno,durataMinuti,etaMinima,dataOra,costoBiglietto
3362,The Bourne Supremacy,Action,Paul Greengrass,2004,108,12,2024-03-07 10:30,7.50
3363,Le charme discret de la bourgeoisie,Comedy,Luis Buñuel,1972,102,6,2024-03-06 15:00,7.00
3364,Lifeboat,Drama,Alfred Hitchcock,1944,97,12,2024-03-06 12:30,6.50
3365,Evil Dead II,Action,Sam Raimi,1987,84,12,2024-03-06 10:00,8.50
3366,Dazed and Confused,Comedy,Richard Linklater,1993,102,0,2024-03-05 15:00,6.50
3367,The Others,Horror,Alejandro Amenábar,2001,101,12,2024-03-05 12:30,7.00
3368,The Others,Horror,Alejandro Amenábar,2001,101,12,2024-03-05 10:00,8.00
3369,Les diaboliques,Crime,Henri-Georges Clouzot,1955,117,12,2024-03-04 10:00,8.00
3370,Gone with the Wind,Drama,Victor Fleming,1939,238,0,2024-03-03 16:30,8.50
3371,Patton,Biography,Franklin J. Schaffner,1970,172,0,2024-03-03 13:00,6.50
3372,White Heat,Action,Raoul Walsh,1949,114,12,2024-03-03 10:00,7.50
3373,Evil Dead II,Action,Sam Raimi,1987,84,12,2024-03-02 19:30,9.00
3374,Serpico,Biography,Sidney Lumet,1973,130,12,2024-03-02 16:30,7.00
3375,White Heat,Action,Raoul Walsh,1949,114,12,2024-03-02 14:00,7.50
3376,Judgment at Nuremberg,Drama,Stanley Kramer,1961,179,12,2024-03-02 10:00,8.00
3377,Les diaboliques,Crime,Henri-Georges Clouzot,1955,117,12,2024-03-01 15:30,8.50
3378,Rushmore,Comedy,Wes Anderson,1998,93,12,2024-03-01 13:00,8.00
3379,Nueve reinas,Crime,Fabián Bielinsky,2000,114,16,2024-03-01 10:00,7.50
3380,White Heat,Action,Raoul Walsh,1949,114,12,2024-02-29 10:00,8.50
3381,The Others,Horror,Alejandro Amenábar,2001,101,12,2024-02-28 16:00,7.00
3382,The Godfather: Part III,Crime,Francis Ford Coppola,1990,162,12,2024-02-28 12:30,8.00
3383,The Others,Horror,Alejandro Amenábar,2001,101,12,2024-02-28 10:00,6.50
3384,Serpico,Biography,Sidney Lumet,1973,130,12,2024-02-27 10:30,8.00
3385,Rear Window,Mystery,Alfred Hitchcock,1954,112,0,2024-02-26 16:30,6.50
3386,Where Eagles Dare,Action,Brian G. Hutton,1968,158,0,2024-02-26 13:00,7.50
3387,Rear Window,Mystery,Alfred Hitchcock,1954,112,0,2024-02-26 10:00,8.50
3388,The Others,Horror,Alejandro Amenábar,2001,101,12,2024-02-25 19:00,9.00
3389,The Terminator,Action,James Cameron,1984,107,12,2024-02-25 16:00,7.00
3390,Mulholland Dr.,Drama,David Lynch,2001,147,16,2024-02-25 12:30,7.00
3391,The Terminator,Action,James Cameron,1984,107,12,2024-02-25 10:00,8.50
3392,Do lok tin si,Comedy,Kar-Wai Wong,1995,99,12,2024-02-24 18:30,9.50
3393,White Heat,Action,Raoul Walsh,1949,114,12,2024-02-24 15:30,6.50
3394,Per qualche dollaro in più,Western,Sergio Leone,1965,132,0,2024-02-24 12:30,8.00
3395,October Sky,Biography,Joe Johnston,1999,108,6,2024-02-24 10:00,8.50
3396,Charade,Comedy,Stanley Donen,1963,113,0,2024-02-23 10:30,8.00
3397,Nueve reinas,Crime,Fabián Bielinsky,2000,114,16,2024-02-22 16:00,6.50
3398,The Fifth Element,Action,Luc Besson,1997,126,12,2024-02-22 13:00,8.50
3399,Serpico,Biography,Sidney Lumet,1973,130,12,2024-02-22 10:00,7.50
3400,The Last Picture Show,Drama,Peter Bogdanovich,1971,118,16,2024-02-21 14:00,7.50
3401,Patton,Biography,Franklin J. Schaffner,1970,172,0,2024-02-21 10:30,6.50
3402,Le dîner de cons,Comedy,Francis Veber,1998,80,12,2024-02-20 12:00,8.50
3403,Zelig,Comedy,Woody Allen,1983,79,6,2024-02-20 10:00,7.50
3404,The Terminator,Action,James Cameron,1984,107,12,2024-02-19 16:30,8.00
3405,Per qualche dollaro in più,Western,Sergio Leone,1965,132,0,2024-02-19 13:30,6.50
3406,Patton,Biography,Franklin J. Schaffner,1970,172,0,2024-02-19 10:00,8.50
3407,The Fifth Element,Action,Luc Besson,1997,126,12,2024-02-18 16:00,8.00
3408,Dazed and Confused,Comedy,Richard Linklater,1993,102,0,2024-02-18 13:30,8.50
3409,Patton,Biography,Franklin J. Schaffner,1970,172,0,2024-02-18 10:00,6.50
3410,Evil Dead II,Action,Sam Raimi,1987,84,12,2024-02-17 15:30,8.50
3411,Les diaboliques,Crime,Henri-Georges Clouzot,1955,117,12,2024-02-17 12:30,8.50
3412,October Sky,Biography,Joe Johnston,1999,108,6,2024-02-17 10:00,8.50
3413,Charade,Comedy,Stanley Donen,1963,113,0,2024-02-16 12:30,6.50
3414,The Bourne Supremacy,Action,Paul Greengrass,2004,108,12,2024-02-16 10:00,7.50
3415,"South Park: Bigger, Longer & Uncut",Animation,Trey Parker,1999,81,12,2024-02-15 10:00,6.50
3416,October Sky,Biography,Joe Johnston,1999,108,6,2024-02-14 13:00,8.50
3417,Apocalypse Now,Drama,Francis Ford Coppola,1979,147,16,2024-02-14 10:00,7.50
3418,Gone with the Wind,Drama,Victor Fleming,1939,238,0,2024-02-13 10:30,8.50
3419,Nueve reinas,Crime,Fabián Bielinsky,2000,114,16,2024-02-12 18:00,9.00
3420,Gone with the Wind,Drama,Victor Fleming,1939,238,0,2024-02-12 13:00,8.00
3421,Cool Hand Luke,Crime,Stuart Rosenberg,1967,127,12,2024-02-12 10:00,8.50
3422,Per qualche dollaro in più,Western,Sergio Leone,1965,132,0,2024-02-11 16:30,8.00
3423,The Man Who Would Be King,Adventure,John Huston,1975,129,6,2024-02-11 13:30,7.50
3424,Per qualche dollaro in più,Western,Sergio Leone,1965,132,0,2024-02-11 10:30,8.00
3425,Batoru rowaiaru,Action,Kinji Fukasaku,2000,114,12,2024-02-10 16:00,8.50
3426,Le dîner de cons,Comedy,Francis Veber,1998,80,12,2024-02-10 13:30,7.50
3427,The Man Who Would Be King,Adventure,John Huston,1975,129,6,2024-02-10 10:30,8.00
3428,The Innocents,Horror,Jack Clayton,1961,100,12,2024-02-09 12:30,8.50
3429,The Terminator,Action,James Cameron,1984,107,12,2024-02-09 10:00,6.50
3430,Being There,Comedy,Hal Ashby,1979,130,6,2024-02-08 13:30,7.00
3431,The Big Sleep,Crime,Howard Hawks,1946,114,12,2024-02-08 10:30,7.50
3432,Zelig,Comedy,Woody Allen,1983,79,6,2024-02-07 15:30,7.00
3433,Being There,Comedy,Hal Ashby,1979,130,6,2024-02-07 12:30,6.50
3434,Groundhog Day,Comedy,Harold Ramis,1993,101,0,2024-02-07 10:00,7.00
3435,The Innocents,Horror,Jack Clayton,1961,100,12,2024-02-06 16:30,8.50
3436,The Hustler,Drama,Robert Rossen,1961,134,12,2024-02-06 13:30,8.50
3437,Awakenings,Biography,Penny Marshall,1990,121,0,2024-02-06 10:30,7.50
3438,Batman: Mask of the Phantasm,Animation,Kevin Altieri,1993,76,6,2024-02-05 15:30,6.50
3439,Do lok tin si,Comedy,Kar-Wai Wong,1995,99,12,2024-02-05 13:00,8.50
3440,Jûbê ninpûchô,Animation,Yoshiaki Kawajiri,1993,94,12,2024-02-05 10:30,7.00
3441,The Fifth Element,Action,Luc Besson,1997,126,12,2024-02-04 19:00,9.50
3442,Apocalypse Now,Drama,Francis Ford Coppola,1979,147,16,2024-02-04 15:30,8.50
3443,October Sky,Biography,Joe Johnston,1999,108,6,2024-02-04 13:00,6.50
3444,Groundhog Day,Comedy,Harold Ramis,1993,101,0,2024-02-04 10:30,7.50
3445,Double Indemnity,Crime,Billy Wilder,1944,107,12,2024-02-03 18:30,9.00
3446,Rushmore,Comedy,Wes Anderson,1998,93,12,2024-02-03 16:00,7.50
3447,The Man Who Would Be King,Adventure,John Huston,1975,129,6,2024-02-03 13:00,7.50
3448,Inherit the Wind,Biography,Stanley Kramer,1960,128,12,2024-02-03 10:00,8.00
3449,The Innocents,Horror,Jack Clayton,1961,100,12,2024-02-02 16:30,7.50
3450,The Man Who Would Be King,Adventure,John Huston,1975,129,6,2024-02-02 13:30,8.50
3451,Rear Window,Mystery,Alfred Hitchcock,1954,112,0,2024-02-02 10:30,8.50
3452,October Sky,Biography,Joe Johnston,1999,108,6,2024-02-01 16:00,7.00
3453,Inherit the Wind,Biography,Stanley Kramer,1960,128,12,2024-02-01 13:00,6.50
3454,A Man for All Seasons,Biography,Fred Zinnemann,1966,120,0,2024-02-01 10:30,7.50
3455,Where Eagles Dare,Action,Brian G. Hutton,1968,158,0,2024-01-31 13:00,7.50
3456,Cool Hand Luke,Crime,Stuart Rosenberg,1967,127,12,2024-01-31 10:00,7.00
3457,The Innocents,Horror,Jack Clayton,1961,100,12,2024-01-30 10:30,7.00
3458,The Deer Hunter,Drama,Michael Cimino,1978,183,12,2024-01-29 15:00,8.50
3459,The Last Picture Show,Drama,Peter Bogdanovich,1971,118,16,2024-01-29 12:00,8.00
3460,Zelig,Comedy,Woody Allen,1983,79,6,2024-01-29 10:00,7.00
3461,October Sky,Biography,Joe Johnston,1999,108,6,2024-01-28 18:30,9.00
3462,Do lok tin si,Comedy,Kar-Wai Wong,1995,99,12,2024-01-28 16:00,7.50
3463,The Big Sleep,Crime,Howard Hawks,1946,114,12,2024-01-28 13:30,6.50
3464,The Last Picture Show,Drama,Peter Bogdanovich,1971,118,16,2024-01-28 10:30,7.00
3465,Jûbê ninpûchô,Animation,Yoshiaki Kawajiri,1993,94,12,2024-01-27 16:30,8.00
3466,Awakenings,Biography,Penny Marshall,1990,121,0,2024-01-27 13:30,8.50
3467,A Man for All Seasons,Biography,Fred Zinnemann,1966,120,0,2024-01-27 10:30,6.50
3468,Ocean's Eleven,Crime,Steven Soderbergh,2001,116,12,2024-01-26 16:00,8.50
3469,Full Metal Jacket,Drama,Stanley Kubrick,1987,116,12,2024-01-26 13:00,6.50
3470,Double Indemnity,Crime,Billy Wilder,1944,107,12,2024-01-26 10:30,8.00
3471,My Fair Lady,Drama,George Cukor,1964,170,0,2024-01-25 15:30,8.50
3472,The Last Picture Show,Drama,Peter Bogdanovich,1971,118,16,2024-01-25 12:30,7.00
3473,Finding Neverland,Biography,Marc Forster,2004,106,0,2024-01-25 10:00,6.50
3474,Where Eagles Dare,Action,Brian G. Hutton,1968,158,0,2024-01-24 10:00,7.50
3475,The Deer Hunter,Drama,Michael Cimino,1978,183,12,2024-01-23 12:00,7.50
3476,Batman: Mask of the Phantasm,Animation,Kevin Altieri,1993,76,6,2024-01-23 10:00,8.00
3477,Groundhog Day,Comedy,Harold Ramis,1993,101,0,2024-01-22 10:30,7.00
3478,Harry Potter and the Prisoner of Azkaban,Adventure,Alfonso Cuarón,2004,142,0,2024-01-21 17:30,7.50
3479,Groundhog Day,Comedy,Harold Ramis,1993,101,0,2024-01-21 15:00,6.50
3480,The Last Picture Show,Drama,Peter Bogdanovich,1971,118,16,2024-01-21 12:00,7.00
3481,Zelig,Comedy,Woody Allen,1983,79,6,2024-01-21 10:00,8.50
3482,Being There,Comedy,Hal Ashby,1979,130,6,2024-01-20 16:00,8.00
3483,Finding Neverland,Biography,Marc Forster,2004,106,0,2024-01-20 13:30,8.50
3484,Star Wars: Episode VI - Return of the Jedi,Action,Richard Marquand,1983,131,0,2024-01-20 10:30,8.50
3485,Cat on a Hot Tin Roof,Drama,Richard Brooks,1958,108,12,2024-01-19 14:00,7.50
3486,La dolce vita,Comedy,Federico Fellini,1960,174,12,2024-01-19 10:00,6.50
3487,A Man for All Seasons,Biography,Fred Zinnemann,1966,120,0,2024-01-18 16:30,7.00
3488,The Deer Hunter,Drama,Michael Cimino,1978,183,12,2024-01-18 12:30,8.50
3489,Full Metal Jacket,Drama,Stanley Kubrick,1987,116,12,2024-01-18 10:00,8.00
3490,The Straight Story,Biography,David Lynch,1999,112,0,2024-01-17 16:00,6.50
3491,Inherit the Wind,Biography,Stanley Kramer,1960,128,12,2024-01-17 13:00,7.00
3492,Strangers on a Train,Crime,Alfred Hitchcock,1951,101,12,2024-01-17 10:30,8.50
3493,Batman: Mask of the Phantasm,Animation,Kevin Altieri,1993,76,6,2024-01-16 13:00,7.50
3494,Training Day,Crime,Antoine Fuqua,2001,122,12,2024-01-16 10:00,8.50
3495,Guess Who's Coming to Dinner,Comedy,Stanley Kramer,1967,108,12,2024-01-15 10:30,6.50
3496,Singin' in the Rain,Comedy,Stanley Donen,1952,103,0,2024-01-14 19:00,9.50
3497,Batman: Mask of the Phantasm,Animation,Kevin Altieri,1993,76,6,2024-01-14 17:00,8.00
3498,Groundhog Day,Comedy,Harold Ramis,1993,101,0,2024-01-14 14:30,7.50
3499,Dogville,Crime,Lars von Trier,2003,178,16,2024-01-14 10:30,8.50
3500,Reservoir Dogs,Crime,Quentin Tarantino,1992,99,16,2024-01-13 17:30,8.50
3501,Reservoir Dogs,Crime,Quentin Tarantino,1992,99,16,2024-01-13 15:00,7.00
3502,Reservoir Dogs,Crime,Quentin Tarantino,1992,99,16,2024-01-13 12:30,7.00
3503,Ace in the Hole,Drama,Billy Wilder,1951,111,12,2024-01-13 10:00,6.50
3504,Rashômon,Crime,Akira Kurosawa,1950,88,12,2024-01-12 16:30,8.00
3505,A Man for All Seasons,Biography,Fred Zinnemann,1966,120,0,2024-01-12 13:30,8.50
3506,Inherit the Wind,Biography,Stanley Kramer,1960,128,12,2024-01-12 10:30,7.50
3507,Star Wars: Episode VI - Return of the Jedi,Action,Richard Marquand,1983,131,0,2024-01-11 10:30,8.50
3508,The Deer Hunter,Drama,Michael Cimino,1978,183,12,2024-01-10 13:00,7.50
3509,Cat on a Hot Tin Roof,Drama,Richard Brooks,1958,108,12,2024-01-10 10:30,6.50
3510,Singin' in the Rain,Comedy,Stanley Donen,1952,103,0,2024-01-09 10:30,7.00
3511,La règle du jeu,Comedy,Jean Renoir,1939,110,12,2024-01-08 16:30,8.50
3512,Forrest Gump,Drama,Robert Zemeckis,1994,142,12,2024-01-08 13:30,7.50
3513,Lost Highway,Mystery,David Lynch,1997,134,12,2024-01-08 10:30,7.00
3514,Dogville,Crime,Lars von Trier,2003,178,16,2024-01-07 15:00,7.00
3515,Reservoir Dogs,Crime,Quentin Tarantino,1992,99,16,2024-01-07 12:30,8.50
3516,La Strada,Drama,Federico Fellini,1954,108,12,2024-01-07 10:00,6.50
3517,The Deer Hunter,Drama,Michael Cimino,1978,183,12,2024-01-06 20:00,10.00
3518,Reservoir Dogs,Crime,Quentin Tarantino,1992,99,16,2024-01-06 17:30,7.00
3519,My Fair Lady,Drama,George Cukor,1964,170,0,2024-01-06 14:00,6.50
3520,The Deer Hunter,Drama,Michael Cimino,1978,183,12,2024-01-06 10:00,8.50
3521,The Straight Story,Biography,David Lynch,1999,112,0,2024-01-05 10:00,7.50
3522,Aliens,Action,James Cameron,1986,137,0,2024-01-04 14:30,6.50
3523,Andrei Rublev,Biography,Andrei Tarkovsky,1966,205,16,2024-01-04 10:00,7.00
3524,The Dirty Dozen,Action,Robert Aldrich,1967,150,12,2024-01-03 17:00,8.00
3525,Hotaru no haka,Animation,Isao Takahata,1988,89,0,2024-01-03 14:30,8.00
3526,La dolce vita,Comedy,Federico Fellini,1960,174,12,2024-01-03 10:30,8.50
3527,Guess Who's Coming to Dinner,Comedy,Stanley Kramer,1967,108,12,2024-01-02 10:00,8.50
3528,Amadeus,Biography,Milos Forman,1984,160,16,2024-01-01 10:30,7.00
3529,Munna Bhai M.B.B.S.,Comedy,Rajkumar Hirani,2003,156,0,2023-12-31 16:30,8.50
3530,The Deer Hunter,Drama,Michael Cimino,1978,183,12,2023-12-31 12:30,6.50
3531,Singin' in the Rain,Comedy,Stanley Donen,1952,103,0,2023-12-31 10:00,7.50
3532,La dolce vita,Comedy,Federico Fellini,1960,174,12,2023-12-30 15:30,6.50
3533,Rashômon,Crime,Akira Kurosawa,1950,88,12,2023-12-30 13:00,8.00
3534,Per qualche dollaro in più,Western,Sergio Leone,1965,132,0,2023-12-30 10:00,6.50
3535,The Treasure of the Sierra Madre,Adventure,John Huston,1948,126,12,2023-12-29 15:00,7.00
3536,The Gold Rush,Adventure,Charles Chaplin,1925,95,12,2023-12-29 12:30,7.50
3537,La Strada,Drama,Federico Fellini,1954,108,12,2023-12-29 10:00,6.50
3538,Reservoir Dogs,Crime,Quentin Tarantino,1992,99,16,2023-12-28 10:00,6.50
3539,The Gold Rush,Adventure,Charles Chaplin,1925,95,12,2023-12-27 10:00,7.00
3540,The Treasure of the Sierra Madre,Adventure,John Huston,1948,126,12,2023-12-26 10:30,7.50
3541,Munna Bhai M.B.B.S.,Comedy,Rajkumar Hirani,2003,156,0,2023-12-25 16:30,8.50
3542,The Gold Rush,Adventure,Charles Chaplin,1925,95,12,2023-12-25 14:00,8.00
3543,La dolce vita,Comedy,Federico Fellini,1960,174,12,2023-12-25 10:00,8.00
3544,Rebecca,Drama,Alfred Hitchcock,1940,130,12,2023-12-24 19:00,9.00
3545,Per qualche dollaro in più,Western,Sergio Leone,1965,132,0,2023-12-24 16:00,8.00
3546,La Strada,Drama,Federico Fellini,1954,108,12,2023-12-24 13:30,8.50
3547,Per qualche dollaro in più,Western,Sergio Leone,1965,132,0,2023-12-24 10:30,8.00
3548,Dogville,Crime,Lars von Trier,2003,178,16,2023-12-23 19:00,9.00
3549,Almost Famous,Adventure,Cameron Crowe,2000,122,12,2023-12-23 16:00,8.50
3550,Per qualche dollaro in più,Western,Sergio Leone,1965,132,0,2023-12-23 13:00,7.00
3551,Forrest Gump,Drama,Robert Zemeckis,1994,142,12,2023-12-23 10:00,8.00
3552,The Gold Rush,Adventure,Charles Chaplin,1925,95,12,2023-12-22 17:00,8.50
3553,Andrei Rublev,Biography,Andrei Tarkovsky,1966,205,16,2023-12-22 12:30,6.50
3554,La Strada,Drama,Federico Fellini,1954,108,12,2023-12-22 10:00,8.50
3555,The Last of the Mohicans,Action,Michael Mann,1992,112,12,2023-12-21 16:00,7.00
3556,The Dirty Dozen,Action,Robert Aldrich,1967,150,12,2023-12-21 13:00,7.50
3557,Full Metal Jacket,Drama,Stanley Kubrick,1987,116,12,2023-12-21 10:30,8.50
3558,Andrei Rublev,Biography,Andrei Tarkovsky,1966,205,16,2023-12-20 14:30,6.50
3559,Dogville,Crime,Lars von Trier,2003,178,16,2023-12-20 10:30,8.50
3560,The Thing,Horror,John Carpenter,1982,109,12,2023-12-19 16:00,7.50
3561,Aladdin,Animation,Ron Clements,1992,90,0,2023-12-19 13:30,8.50
3562,Forrest Gump,Drama,Robert Zemeckis,1994,142,12,2023-12-19 10:30,6.50
3563,Andrei Rublev,Biography,Andrei Tarkovsky,1966,205,16,2023-12-18 12:30,7.50
3564,The Usual Suspects,Crime,Bryan Singer,1995,106,12,2023-12-18 10:00,6.50
3565,Almost Famous,Adventure,Cameron Crowe,2000,122,12,2023-12-17 15:00,8.50
3566,Rope,Crime,Alfred Hitchcock,1948,80,12,2023-12-17 12:30,7.00
3567,Persona,Drama,Ingmar Bergman,1966,85,12,2023-12-17 10:30,7.00
3568,La règle du jeu,Comedy,Jean Renoir,1939,110,12,2023-12-16 19:00,8.50
3569,Dances with Wolves,Adventure,Kevin Costner,1990,181,0,2023-12-16 15:00,8.00
3570,La Strada,Drama,Federico Fellini,1954,108,12,2023-12-16 12:30,7.50
3571,Hotaru no haka,Animation,Isao Takahata,1988,89,0,2023-12-16 10:00,8.50
3572,La dolce vita,Comedy,Federico Fellini,1960,174,12,2023-12-15 10:00,7.50
3573,28 Days Later...,Drama,Danny Boyle,2002,113,12,2023-12-14 15:00,8.00
3574,Rope,Crime,Alfred Hitchcock,1948,80,12,2023-12-14 13:00,8.50
3575,Aladdin,Animation,Ron Clements,1992,90,0,2023-12-14 10:30,8.50
3576,Rebecca,Drama,Alfred Hitchcock,1940,130,12,2023-12-13 16:00,8.00
3577,Ondskan,Drama,Mikael Håfström,2003,113,12,2023-12-13 13:30,8.50
3578,Donnie Brasco,Biography,Mike Newell,1997,127,12,2023-12-13 10:30,8.00
3579,Ondskan,Drama,Mikael Håfström,2003,113,12,2023-12-12 10:30,8.50
3580,Lost Highway,Mystery,David Lynch,1997,134,12,2023-12-11 15:30,7.00
3581,The Treasure of the Sierra Madre,Adventure,John Huston,1948,126,12,2023-12-11 12:30,6.50
3582,La règle du jeu,Comedy,Jean Renoir,1939,110,12,2023-12-11 10:00,8.00
3583,Der Himmel über Berlin,Drama,Wim Wenders,1987,128,0,2023-12-10 18:00,9.50
3584,Kumonosu-jô,Drama,Akira Kurosawa,1957,110,12,2023-12-10 15:30,7.00
3585,Kumonosu-jô,Drama,Akira Kurosawa,1957,110,12,2023-12-10 12:30,8.50
3586,Requiem for a Dream,Drama,Darren Aronofsky,2000,102,12,2023-12-10 10:00,8.00
3587,The Treasure of the Sierra Madre,Adventure,John Huston,1948,126,12,2023-12-09 19:30,8.50
3588,Rope,Crime,Alfred Hitchcock,1948,80,12,2023-12-09 17:30,8.00
3589,Fiddler on the Roof,Drama,Norman Jewison,1971,181,0,2023-12-09 13:30,6.50
3590,Lost Highway,Mystery,David Lynch,1997,134,12,2023-12-09 10:30,7.00
3591,Aladdin,Animation,Ron Clements,1992,90,0,2023-12-08 14:00,8.00
3592,The Hurricane,Biography,Norman Jewison,1999,146,16,2023-12-08 10:30,8.50
3593,Donnie Brasco,Biography,Mike Newell,1997,127,12,2023-12-07 10:00,6.50
3594,Lost Highway,Mystery,David Lynch,1997,134,12,2023-12-06 16:00,8.50
3595,A Night at the Opera,Comedy,Sam Wood,1935,96,12,2023-12-06 13:30,6.50
3596,The Dirty Dozen,Action,Robert Aldrich,1967,150,12,2023-12-06 10:00,7.50
3597,A Night at the Opera,Comedy,Sam Wood,1935,96,12,2023-12-05 10:00,8.50
3598,Fear and Loathing in Las Vegas,Adventure,Terry Gilliam,1998,118,16,2023-12-04 10:00,8.00
3599,A Night at the Opera,Comedy,Sam Wood,1935,96,12,2023-12-03 18:30,9.00
3600,Amadeus,Biography,Milos Forman,1984,160,16,2023-12-03 15:00,8.00
3601,Rope,Crime,Alfred Hitchcock,1948,80,12,2023-12-03 13:00,7.50
3602,My Left Foot: The Story of Christy Brown,Biography,Jim Sheridan,1989,103,0,2023-12-03 10:30,8.50
3603,"O Brother, Where Art Thou?",Adventure,Joel Coen,2000,107,0,2023-12-02 18:00,9.00
3604,Ondskan,Drama,Mikael Håfström,2003,113,12,2023-12-02 15:30,8.00
3605,Per un pugno di dollari,Action,Sergio Leone,1964,99,12,2023-12-02 13:00,8.50
3606,Lost Highway,Mystery,David Lynch,1997,134,12,2023-12-02 10:00,7.50
3607,Hedwig and the Angry Inch,Comedy,John Cameron Mitchell,2001,95,16,2023-12-01 13:00,7.00
3608,Lost in Translation,Comedy,Sofia Coppola,2003,102,12,2023-12-01 10:30,7.00
3609,Dances with Wolves,Adventure,Kevin Costner,1990,181,0,2023-11-30 12:30,8.00
3610,The African Queen,Adventure,John Huston,1951,105,6,2023-11-30 10:00,8.00
3611,Rebecca,Drama,Alfred Hitchcock,1940,130,12,2023-11-29 15:00,7.50
3612,"O Brother, Where Art Thou?",Adventure,Joel Coen,2000,107,0,2023-11-29 12:30,8.00
3613,Rope,Crime,Alfred Hitchcock,1948,80,12,2023-11-29 10:30,7.50
3614,Kumonosu-jô,Drama,Akira Kurosawa,1957,110,12,2023-11-28 13:00,8.50
3615,A Night at the Opera,Comedy,Sam Wood,1935,96,12,2023-11-28 10:30,8.50
3616,A Night at the Opera,Comedy,Sam Wood,1935,96,12,2023-11-27 13:30,6.50
3617,Lost Highway,Mystery,David Lynch,1997,134,12,2023-11-27 10:30,6.50
3618,Dances with Wolves,Adventure,Kevin Costner,1990,181,0,2023-11-26 15:00,7.00
3619,Hedwig and the Angry Inch,Comedy,John Cameron Mitchell,2001,95,16,2023-11-26 12:30,8.50
3620,Aladdin,Animation,Ron Clements,1992,90,0,2023-11-26 10:00,8.00
3621,Rope,Crime,Alfred Hitchcock,1948,80,12,2023-11-25 17:30,6.50
3622,Monty Python and the Holy Grail,Adventure,Terry Gilliam,1975,91,6,2023-11-25 15:00,6.50
3623,Aladdin,Animation,Ron Clements,1992,90,0,2023-11-25 12:30,6.50
3624,Requiem for a Dream,Drama,Darren Aronofsky,2000,102,12,2023-11-25 10:00,6.50
3625,Amadeus,Biography,Milos Forman,1984,160,16,2023-11-24 12:30,8.50
3626,The African Queen,Adventure,John Huston,1951,105,6,2023-11-24 10:00,8.00
3627,Naked,Comedy,Mike Leigh,1993,132,12,2023-11-23 17:00,8.50
3628,The African Queen,Adventure,John Huston,1951,105,6,2023-11-23 14:30,8.00
3629,Shichinin no samurai,Action,Akira Kurosawa,1954,207,0,2023-11-23 10:00,7.00
3630,Aladdin,Animation,Ron Clements,1992,90,0,2023-11-22 12:00,7.00
3631,Brief Encounter,Drama,David Lean,1945,86,0,2023-11-22 10:00,6.50
3632,The Hurricane,Biography,Norman Jewison,1999,146,16,2023-11-21 13:00,8.50
3633,Rebecca,Drama,Alfred Hitchcock,1940,130,12,2023-11-21 10:00,7.00
3634,Do lok tin si,Comedy,Kar-Wai Wong,1995,99,12,2023-11-20 10:30,6.50
3635,The Dirty Dozen,Action,Robert Aldrich,1967,150,12,2023-11-19 16:30,6.50
3636,Hedwig and the Angry Inch,Comedy,John Cameron Mitchell,2001,95,16,2023-11-19 14:00,8.50
3637,The Dirty Dozen,Action,Robert Aldrich,1967,150,12,2023-11-19 10:30,7.00
3638,Withnail & I,Comedy,Bruce Robinson,1987,107,16,2023-11-18 17:00,8.50
3639,Shichinin no samurai,Action,Akira Kurosawa,1954,207,0,2023-11-18 12:30,6.50
3640,Kumonosu-jô,Drama,Akira Kurosawa,1957,110,12,2023-11-18 10:00,8.00
3641,Fear and Loathing in Las Vegas,Adventure,Terry Gilliam,1998,118,16,2023-11-17 13:00,7.50
3642,Requiem for a Dream,Drama,Darren Aronofsky,2000,102,12,2023-11-17 10:30,8.50
3643,In the Name of the Father,Biography,Jim Sheridan,1993,133,12,2023-11-16 10:30,7.50
3644,Frankenstein,Drama,James Whale,1931,70,12,2023-11-15 12:30,8.00
3645,Aladdin,Animation,Ron Clements,1992,90,0,2023-11-15 10:00,7.00
3646,Withnail & I,Comedy,Bruce Robinson,1987,107,16,2023-11-14 13:00,6.50
3647,Persona,Drama,Ingmar Bergman,1966,85,12,2023-11-14 10:30,6.50
3648,The African Queen,Adventure,John Huston,1951,105,6,2023-11-13 16:00,7.50
3649,Withnail & I,Comedy,Bruce Robinson,1987,107,16,2023-11-13 13:30,6.50
3650,Planet of the Apes,Adventure,Franklin J. Schaffner,1968,112,0,2023-11-13 10:30,8.00
3651,Shichinin no samurai,Action,Akira Kurosawa,1954,207,0,2023-11-12 15:30,7.50
3652,Do lok tin si,Comedy,Kar-Wai Wong,1995,99,12,2023-11-12 13:00,7.00
3653,Die Hard: With a Vengeance,Action,John McTiernan,1995,128,12,2023-11-12 10:00,8.00
3654,Gattaca,Drama,Andrew Niccol,1997,106,12,2023-11-11 19:00,10.00
3655,Naked,Comedy,Mike Leigh,1993,132,12,2023-11-11 16:00,7.50
3656,Per un pugno di dollari,Action,Sergio Leone,1964,99,12,2023-11-11 13:30,7.00
3657,Good Bye Lenin!,Comedy,Wolfgang Becker,2003,121,16,2023-11-11 10:30,8.00
3658,In the Name of the Father,Biography,Jim Sheridan,1993,133,12,2023-11-10 15:30,8.00
3659,Kumonosu-jô,Drama,Akira Kurosawa,1957,110,12,2023-11-10 13:00,7.50
3660,Good Bye Lenin!,Comedy,Wolfgang Becker,2003,121,16,2023-11-10 10:00,7.00
3661,My Left Foot: The Story of Christy Brown,Biography,Jim Sheridan,1989,103,0,2023-11-09 10:00,7.50
